Graph,n,var,clause,time,lambda,status
K_3,3,21,84,0.00027,7,OPT
K_4,4,52,288,0.001474,13,OPT
K_5,5,105,740,0.004295,21,OPT
K_6,6,186,1590,0.017548,31,OPT
K_7,7,301,3024,0.015771,43,OPT
K_8,8,456,5264,0.017098,57,OPT
K_9,9,657,8568,0.025262,73,OPT
K_10,10,910,13230,0.107531,91,OPT
K_11,11,1221,19580,0.075955,111,OPT
K_12,12,1596,27984,0.08125,133,OPT
