Graph,n,var,clause,time,lambda,status
Q_2,4,32,146,0.000402,8,OPT
Q_3,8,136,968,0.002065,17,OPT
Q_4,16,512,5184,0.012782,32,OPT
Q_5,32,1824,24832,0.053838,57,OPT
Q_6,64,6400,112608,0.258488,100,OPT
Q_7,128,22656,500096,1.1702,177,OPT
Q_8,256,81920,2216192,7.37378,320,OPT
Q_9,512,303616,9878528,31.78986,593,OPT
Q_10,1024,1150976,44339712,192.396921,1124,OPT
