Graph,n,var,clause,time,lambda,UB,status
C_3,3,12,48,0.009006,4,B2:UNSAT -> B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
C_4,4,16,74,0.003504,4,B3:UNSAT -> B5:SAT -> B4:SAT -> S3:UNSAT,OPT
K_3,3,12,48,0.003288,4,B2:UNSAT -> B3:UNSAT -> B4:SAT -> S3:UNSAT,OPT
K_4,4,24,134,0.003037,6,B3:UNSAT -> B5:UNSAT -> B6:SAT -> S5:UNSAT,OPT
Q_3,8,48,352,0.01283,6,B4:UNSAT -> B6:SAT -> B5:UNSAT -> S5:UNSAT,OPT
Q_4,16,,,0.0,8,E8:ESTIMATE,FEASIBLE_ESTIMATE
