Graph,n,var,clause/constr,time,lambda,UB,status
GP_48_23,96,480,4416,0.03717,5,5,OPT
GP_49_1,98,588,4655,0.110285,6,8,OPT
GP_49_2,98,588,5341,0.052087,6,9,OPT
GP_49_3,98,588,5341,0.060351,6,9,OPT
GP_49_4,98,588,5341,0.072406,6,8,OPT
GP_49_5,98,588,5341,0.159679,6,9,OPT
GP_49_6,98,588,5341,0.26798,6,9,OPT
GP_49_7,98,588,5341,0.409171,6,8,OPT
GP_49_8,98,588,5341,0.328955,6,9,OPT
GP_49_9,98,588,5341,0.950045,6,9,OPT
GP_49_10,98,588,5341,0.165202,6,8,OPT
GP_49_11,98,588,5341,1.135864,6,9,OPT
GP_49_12,98,588,5341,0.115753,6,9,OPT
GP_49_13,98,588,5341,0.37585,6,8,OPT
GP_49_14,98,588,5341,0.384884,6,9,OPT
GP_49_15,98,588,5341,0.300716,6,9,OPT
GP_49_16,98,588,5341,0.057418,6,8,OPT
GP_49_17,98,588,5341,0.11649,6,10,OPT
GP_49_18,98,588,5341,0.543848,6,9,OPT
GP_49_19,98,588,5341,0.450205,6,8,OPT
GP_49_20,98,588,5341,0.236092,6,9,OPT
GP_49_21,98,588,5341,0.403839,6,9,OPT
GP_49_22,98,588,5341,0.235403,6,9,OPT
GP_49_23,98,588,5341,0.094961,6,9,OPT
GP_49_24,98,588,5341,0.055074,6,9,OPT
GP_50_1,100,600,4750,0.109788,6,8,OPT
GP_50_2,100,600,5450,0.053047,6,8,OPT
GP_50_3,100,600,5450,0.077683,6,10,OPT
GP_50_4,100,600,5450,0.09211,6,9,OPT
GP_50_5,100,600,5450,0.157792,6,7,OPT
GP_50_6,100,600,5450,0.290247,6,9,OPT
GP_50_7,100,600,5450,0.538166,6,9,OPT
GP_50_8,100,600,5450,0.476794,6,7,OPT
GP_50_9,100,600,5450,0.923903,6,9,OPT
GP_50_10,100,600,5450,0.125478,6,9,OPT
GP_50_11,100,600,5450,1.155271,6,7,OPT
GP_50_12,100,600,5450,0.22083,6,10,OPT
GP_50_13,100,600,5450,0.238272,6,9,OPT
GP_50_14,100,600,5450,0.79444,6,8,OPT
GP_50_15,100,600,5450,0.506391,6,10,OPT
GP_50_16,100,600,5450,0.115687,6,10,OPT
GP_50_17,100,600,5450,0.064165,6,8,OPT
GP_50_18,100,600,5450,0.306732,6,9,OPT
GP_50_19,100,600,5450,1.258912,6,10,OPT
GP_50_20,100,600,5450,0.131448,6,8,OPT
GP_50_21,100,600,5450,1.116273,6,9,OPT
GP_50_22,100,600,5450,0.450374,6,9,OPT
GP_50_23,100,600,5450,0.184152,6,8,OPT
GP_50_24,100,600,5450,0.092537,6,9,OPT
