Graph,n,var,clause,time,lambda,UB,status
K_36,36,2520,137900,1.744178,70,B53:UNSAT -> B62:UNSAT -> B66:UNSAT -> B68:UNSAT -> B69:UNSAT -> B70:SAT -> S69:UNSAT,OPT
K_37,37,2664,149778,1.922267,72,B54:UNSAT -> B63:UNSAT -> B68:UNSAT -> B70:UNSAT -> B71:UNSAT -> B72:SAT -> S71:UNSAT,OPT
K_38,38,2812,162319,1.91632,74,B56:UNSAT -> B65:UNSAT -> B70:UNSAT -> B72:UNSAT -> B73:UNSAT -> B74:SAT -> S73:UNSAT,OPT
K_39,39,2964,175541,2.371602,76,B57:UNSAT -> B67:UNSAT -> B72:UNSAT -> B74:UNSAT -> B75:UNSAT -> B76:SAT -> S75:UNSAT,OPT
K_40,40,3120,189462,2.674258,78,B59:UNSAT -> B69:UNSAT -> B74:UNSAT -> B76:UNSAT -> B77:UNSAT -> B78:SAT -> S77:UNSAT,OPT
K_41,41,3280,204100,2.527358,80,B60:UNSAT -> B70:UNSAT -> B75:UNSAT -> B78:UNSAT -> B79:UNSAT -> B80:SAT -> S79:UNSAT,OPT
K_42,42,3444,219473,2.683163,82,B62:UNSAT -> B72:UNSAT -> B77:UNSAT -> B80:UNSAT -> B81:UNSAT -> B82:SAT -> S81:UNSAT,OPT
K_43,43,3612,235599,2.808126,84,B63:UNSAT -> B74:UNSAT -> B79:UNSAT -> B82:UNSAT -> B83:UNSAT -> B84:SAT -> S83:UNSAT,OPT
K_44,44,3784,252496,3.367318,86,B65:UNSAT -> B76:UNSAT -> B81:UNSAT -> B84:UNSAT -> B85:UNSAT -> B86:SAT -> S85:UNSAT,OPT
K_45,45,3960,270182,3.456408,88,B66:UNSAT -> B77:UNSAT -> B83:UNSAT -> B86:UNSAT -> B87:UNSAT -> B88:SAT -> S87:UNSAT,OPT
K_46,46,4140,288675,3.864845,90,B68:UNSAT -> B79:UNSAT -> B85:UNSAT -> B88:UNSAT -> B89:UNSAT -> B90:SAT -> S89:UNSAT,OPT
K_47,47,4324,307993,4.988418,92,B69:UNSAT -> B81:UNSAT -> B87:UNSAT -> B90:UNSAT -> B91:UNSAT -> B92:SAT -> S91:UNSAT,OPT
K_48,48,4512,328154,4.953499,94,B71:UNSAT -> B83:UNSAT -> B89:UNSAT -> B92:UNSAT -> B93:UNSAT -> B94:SAT -> S93:UNSAT,OPT
K_49,49,4704,349176,5.124756,96,B72:UNSAT -> B84:UNSAT -> B90:UNSAT -> B93:UNSAT -> B95:UNSAT -> B96:SAT -> S95:UNSAT,OPT
K_50,50,4900,371077,5.449936,98,B74:UNSAT -> B86:UNSAT -> B92:UNSAT -> B95:UNSAT -> B97:UNSAT -> B98:SAT -> S97:UNSAT,OPT
Q_2,4,16,80,0.001085,4,B4:SAT -> B3:UNSAT -> S3:UNSAT,OPT
Q_3,8,48,367,0.00292,6,B6:SAT -> B5:UNSAT -> S5:UNSAT,OPT
Q_4,16,112,1209,0.008441,7,B7:SAT -> B6:UNSAT -> S6:UNSAT,OPT
Q_5,32,256,3701,0.033218,8,B9:SAT -> B7:UNSAT -> B8:SAT -> S7:UNSAT,OPT
Q_6,64,,,0.0,10,E10:ESTIMATE,FEASIBLE_ESTIMATE
Q_7,128,,,0.0,11,E11:ESTIMATE,FEASIBLE_ESTIMATE
Q_8,256,,,0.0,12,E12:ESTIMATE,FEASIBLE_ESTIMATE
Q_9,512,,,0.0,13,E13:ESTIMATE,FEASIBLE_ESTIMATE
Q_10,1024,,,0.0,14,E14:ESTIMATE,FEASIBLE_ESTIMATE
Q_11,2048,,,0.0,15,E15:ESTIMATE,FEASIBLE_ESTIMATE
Q_12,4096,,,0.0,16,E16:ESTIMATE,FEASIBLE_ESTIMATE
Q_13,8192,,,0.0,17,E17:ESTIMATE,FEASIBLE_ESTIMATE
Q_14,16384,,,0.0,18,E18:ESTIMATE,FEASIBLE_ESTIMATE
Q_15,32768,,,0.0,19,E19:ESTIMATE,FEASIBLE_ESTIMATE
Q_16,65536,,,0.0,20,E20:ESTIMATE,FEASIBLE_ESTIMATE
Q_17,131072,,,0.0,21,E21:ESTIMATE,FEASIBLE_ESTIMATE
Q_18,262144,,,0.0,22,E22:ESTIMATE,FEASIBLE_ESTIMATE
