Graph,n,var,clause,time,lambda,UB,status
Q_2,4,16,80,0.009552,4,8 -> 7 -> 6 -> 5 -> 4 -> 3,OPT
Q_3,8,56,408,0.0,7,7,FEASIBLE_ESTIMATE
