Graph,Family,V,E,lambda_Base,lambda_Sym,Time_Base,Status_Base,Time_Sym,Status_Sym,Count_Span_Kind,Count_Span,Symmetry_Rule,Var_Base,Var_Sym,Clause_Raw_Base,Clause_Raw_Sym,Clause_Base,Clause_Sym,Var_Reduce_Pct,Clause_Reduce_Pct,Order,Consistent,Completed_Attempts_Base,Conflicts_Base,Decisions_Base,Propagations_Base,Encoding_Time_Base,SAT_Solve_Time_Base,Stats_Complete_Base,Completed_Attempts_Sym,Conflicts_Sym,Decisions_Sym,Propagations_Sym,Encoding_Time_Sym,SAT_Solve_Time_Sym,Stats_Complete_Sym
P_3xP_6,PxP,18,27,6,6,0.447369,OPT,0.406921,OPT,OPT,6,none,108,108,869,869,869,869,0.0,0.0,"Sym,Base",YES,3,99,158,1638,0.014313,0.000701,True,3,99,158,1638,0.013396,0.00066,True
C_3oC_6,CoC,21,39,10,10,0.508847,OPT,0.487643,OPT,OPT,10,order,210,210,2091,2102,2091,2044,0.0,2.2477,"Base,Sym",YES,1,11727,15247,226533,0.010334,0.104959,True,1,6188,7872,111761,0.011267,0.052312,True
P_3oP_6,PoP,21,35,9,9,0.457497,OPT,0.406224,OPT,OPT,9,none,189,189,1698,1698,1698,1698,0.0,0.0,"Sym,Base",YES,2,6,54,469,0.023282,0.000331,True,2,6,54,469,0.020357,0.000317,True
C_3oP_6,CoP,21,36,10,10,0.550203,OPT,0.515852,OPT,OPT,10,order,210,210,2031,2042,2031,1984,0.0,2.3141,"Base,Sym",YES,1,13272,17193,240768,0.010328,0.130031,True,1,7020,9093,121496,0.010947,0.068068,True
P_3oC_6,PoC,21,38,9,9,0.452884,OPT,0.40224,OPT,OPT,9,none,189,189,1752,1752,1752,1752,0.0,0.0,"Sym,Base",YES,2,6,55,469,0.023512,0.000326,True,2,6,55,469,0.020675,0.000353,True
C_3xC_7,CxC,21,42,8,8,0.66507,OPT,0.642702,OPT,OPT,8,order,168,168,1764,1773,1764,1743,0.0,1.1905,"Base,Sym",YES,3,5952,7972,126950,0.041246,0.066118,True,3,2661,3832,52205,0.031522,0.026464,True
C_3xP_7,CxP,21,39,7,7,0.435399,OPT,0.404581,OPT,OPT,7,order,147,147,1392,1400,1392,1380,0.0,0.8621,"Sym,Base",YES,2,297,476,5291,0.017235,0.002165,True,2,351,553,5733,0.016244,0.002076,True
P_3xP_7,PxP,21,32,6,6,0.406168,OPT,0.462721,OPT,OPT,6,none,126,126,1035,1035,1035,1035,0.0,0.0,"Base,Sym",YES,3,99,160,1725,0.01757,0.000683,True,3,99,160,1725,0.020906,0.000702,True
C_3oC_7,CoC,24,45,11,11,1.055272,OPT,0.661208,OPT,OPT,11,order,264,264,2778,2790,2778,2724,0.0,1.9438,"Sym,Base",YES,2,44513,55030,895280,0.033798,0.604995,True,2,22315,27984,422254,0.030984,0.241644,True
P_3oP_7,PoP,24,41,10,10,0.547615,OPT,0.475029,OPT,OPT,10,none,240,240,2301,2301,2301,2301,0.0,0.0,"Base,Sym",YES,2,1575,2025,26702,0.03028,0.012823,True,2,1575,2025,26702,0.03159,0.014039,True
C_3oP_7,CoP,24,42,11,11,1.033538,OPT,0.771132,OPT,OPT,11,order,264,264,2712,2724,2712,2658,0.0,1.9912,"Sym,Base",YES,2,42601,54066,839393,0.039326,0.571326,True,2,23087,29469,429310,0.032809,0.269575,True
P_3oC_7,PoC,24,44,10,10,0.485478,OPT,0.646646,OPT,OPT,10,none,240,240,2361,2361,2361,2361,0.0,0.0,"Base,Sym",YES,2,1643,2107,27592,0.029437,0.01422,True,2,1643,2107,27592,0.03597,0.018996,True
C_3xC_8,CxC,24,48,7,7,0.465245,OPT,0.444363,OPT,OPT,7,order,168,168,1776,1784,1776,1754,0.0,1.2387,"Sym,Base",YES,3,604,933,10305,0.034978,0.003902,True,3,382,656,7573,0.031696,0.002662,True
C_3xP_8,CxP,24,45,7,7,0.471151,OPT,0.461395,OPT,OPT,7,order,168,168,1614,1622,1614,1602,0.0,0.7435,"Base,Sym",YES,2,330,533,5111,0.018437,0.001814,True,2,349,513,5407,0.020668,0.002597,True
P_3xP_8,PxP,24,37,6,6,0.385997,OPT,0.44255,OPT,OPT,6,none,144,144,1201,1201,1201,1201,0.0,0.0,"Sym,Base",YES,3,98,163,1793,0.020736,0.00071,True,3,98,163,1793,0.021614,0.000699,True
C_3oC_8,CoC,27,51,12,12,2.591991,OPT,1.552732,OPT,OPT,12,order,324,324,3588,3601,3588,3527,0.0,1.7001,"Base,Sym",YES,2,133663,166468,2741056,0.039074,2.175343,True,2,65581,81281,1277958,0.039957,1.145184,True
P_3oP_8,PoP,27,47,11,11,0.407296,OPT,0.420699,OPT,OPT,11,none,297,297,3020,3020,3020,3020,0.0,0.0,"Sym,Base",YES,2,751,1080,13928,0.036491,0.004868,True,2,751,1080,13928,0.036695,0.004907,True
C_3oP_8,CoP,27,48,12,12,3.001788,OPT,1.330764,OPT,OPT,12,order,324,324,3516,3529,3516,3455,0.0,1.7349,"Base,Sym",YES,2,149733,183377,2894579,0.038433,2.584942,True,2,63707,79354,1221534,0.038896,0.928004,True
P_3oC_8,PoC,27,50,11,11,0.421733,OPT,0.451238,OPT,OPT,11,none,297,297,3086,3086,3086,3086,0.0,0.0,"Sym,Base",YES,2,2456,3371,41651,0.037219,0.018765,True,2,2456,3371,41651,0.037323,0.018837,True
C_3xC_9,CxC,27,54,8,8,0.541046,OPT,0.462408,OPT,OPT,8,order,216,216,2268,2277,2268,2247,0.0,0.9259,"Base,Sym",YES,3,9900,14103,217121,0.038693,0.122512,True,3,5063,7460,104999,0.040134,0.050196,True
C_3xP_9,CxP,27,51,7,7,0.388713,OPT,0.405463,OPT,OPT,7,order,189,189,1836,1844,1836,1824,0.0,0.6536,"Sym,Base",YES,2,334,552,5904,0.019672,0.002096,True,2,314,549,5743,0.020344,0.001952,True
P_3xP_9,PxP,27,42,6,6,0.395033,OPT,0.397632,OPT,OPT,6,none,162,162,1367,1367,1367,1367,0.0,0.0,"Base,Sym",YES,3,99,180,1916,0.022304,0.000717,True,3,99,180,1916,0.022681,0.000731,True
C_3oC_9,CoC,30,57,13,13,13.833113,OPT,4.659387,OPT,OPT,13,order,390,390,4530,4544,4530,4462,0.0,1.5011,"Sym,Base",YES,2,471552,571956,9472275,0.050969,13.370129,True,2,234103,286382,4790114,0.051603,4.046441,True
P_3oP_9,PoP,30,53,12,12,1.183767,OPT,0.561381,OPT,OPT,12,none,360,360,3864,3864,3864,3864,0.0,0.0,"Base,Sym",YES,2,1493,2085,27690,0.086324,0.017824,True,2,1493,2085,27690,0.07178,0.011347,True
C_3oP_9,CoP,30,54,13,13,13.120138,OPT,5.204586,OPT,OPT,13,order,390,390,4452,4466,4452,4384,0.0,1.5274,"Sym,Base",YES,2,478155,584358,9309215,0.072471,12.621356,True,2,233373,292511,4378539,0.090798,4.59599,True
P_3oC_9,PoC,30,56,12,12,0.998748,OPT,0.549208,OPT,OPT,12,none,360,360,3936,3936,3936,3936,0.0,0.0,"Base,Sym",YES,2,3652,5034,61696,0.054314,0.030732,True,2,3652,5034,61696,0.06048,0.030264,True
C_3xC_10,CxC,30,60,8,8,0.775323,OPT,0.662262,OPT,OPT,8,order,240,240,2520,2529,2520,2499,0.0,0.8333,"Sym,Base",YES,3,11055,15970,242745,0.042817,0.150821,True,3,7738,11079,164164,0.055641,0.137453,True
C_3xP_10,CxP,30,57,7,7,0.765859,OPT,0.449209,OPT,OPT,7,order,210,210,2058,2066,2058,2046,0.0,0.5831,"Base,Sym",YES,2,352,524,5449,0.090422,0.002898,True,2,397,600,6185,0.024965,0.002406,True
P_3xP_10,PxP,30,47,6,6,0.541339,OPT,0.475321,OPT,OPT,6,none,180,180,1533,1533,1533,1533,0.0,0.0,"Sym,Base",YES,3,113,212,1980,0.030214,0.001272,True,3,113,212,1980,0.03128,0.001014,True
C_3oC_10,CoC,33,63,14,14,58.909405,OPT,15.841604,OPT,OPT,14,order,462,462,5613,5628,5613,5538,0.0,1.3362,"Base,Sym",YES,2,1740623,2088033,32973171,0.107979,58.317184,True,2,618294,766465,11715731,0.072717,14.980231,True
P_3oP_10,PoP,33,59,13,13,0.659347,OPT,0.749616,OPT,OPT,13,none,429,429,4842,4842,4842,4842,0.0,0.0,"Sym,Base",YES,1,5,47,592,0.034522,0.000366,True,1,5,47,592,0.047844,0.000418,True
C_3oP_10,CoP,33,60,14,14,77.366321,OPT,23.099105,OPT,OPT,14,order,462,462,5529,5544,5529,5454,0.0,1.3565,"Base,Sym",YES,2,1978532,2416150,36730846,0.116445,76.583113,True,2,820747,1005984,15409396,0.098617,21.461179,True
P_3oC_10,PoC,33,62,13,13,0.666423,OPT,1.744489,OPT,OPT,13,none,429,429,4920,4920,4920,4920,0.0,0.0,"Sym,Base",YES,1,5,47,592,0.033854,0.000398,True,1,5,47,592,0.088518,0.000577,True
C_4xC_3,CxC,12,24,8,8,0.537726,OPT,0.605781,OPT,OPT,8,order,96,96,954,963,954,935,0.0,1.9916,"Base,Sym",YES,3,2403,3148,37783,0.016214,0.020321,True,3,1233,1648,20106,0.014199,0.009149,True
C_4xP_3,CxP,12,20,7,7,0.457576,OPT,0.773279,OPT,OPT,7,order,84,84,720,728,720,706,0.0,1.9444,"Sym,Base",YES,2,439,569,6058,0.007856,0.00259,True,2,318,417,4335,0.013685,0.002512,True
P_4xP_3,PxP,12,17,6,6,0.525453,OPT,0.566188,OPT,OPT,6,none,72,72,537,537,537,537,0.0,0.0,"Base,Sym",YES,2,106,138,1424,0.008611,0.000781,True,2,106,138,1424,0.0068,0.000566,True
C_4oC_3,CoC,16,28,7,7,0.526264,OPT,0.574443,OPT,OPT,7,order,112,112,920,928,920,892,0.0,3.0435,"Sym,Base",YES,2,325,487,4747,0.012182,0.001707,True,2,336,499,5232,0.016836,0.002568,True
P_4oP_3,PoP,16,23,6,6,0.518548,OPT,0.807241,OPT,OPT,6,none,96,96,685,685,685,685,0.0,0.0,"Base,Sym",YES,2,128,215,1667,0.02833,0.002098,True,2,128,215,1667,0.010691,0.001095,True
C_4oP_3,CoP,16,24,7,7,0.476401,OPT,0.908588,OPT,OPT,7,order,112,112,864,872,864,836,0.0,3.2407,"Sym,Base",YES,2,347,485,5500,0.010622,0.002048,True,2,223,341,3743,0.011901,0.001571,True
P_4oC_3,PoC,16,27,7,7,0.497399,OPT,0.530267,OPT,OPT,7,none,112,112,850,850,850,850,0.0,0.0,"Base,Sym",YES,2,256,372,3042,0.017889,0.001699,True,2,256,372,3042,0.009995,0.001411,True
C_4xC_4,CxC,16,32,7,7,0.518297,OPT,0.531207,OPT,OPT,7,order,112,112,1184,1192,1184,1162,0.0,1.8581,"Sym,Base",YES,3,439,608,7950,0.026035,0.002951,True,3,275,368,4627,0.027778,0.002525,True
C_4xP_4,CxP,16,28,7,7,0.575911,OPT,0.758238,OPT,OPT,7,order,112,112,1032,1040,1032,1018,0.0,1.3566,"Base,Sym",YES,2,432,580,6457,0.01876,0.004091,True,2,401,525,6612,0.013031,0.003064,True
P_4xP_4,PxP,16,24,6,6,0.594927,OPT,0.500483,OPT,OPT,6,none,96,96,774,774,774,774,0.0,0.0,"Sym,Base",YES,3,93,133,1542,0.015649,0.000711,True,3,93,133,1542,0.018681,0.000771,True
