Graph,V,E,lambda_Base,lambda_Sym,Var_Base,Clause_Base,Time_Base,Status_Base,Var_Sym,Clause_Sym,Time_Sym,Status_Sym,Var_Reduce_Pct,Clause_Reduce_Pct,Order,Consistent
C_3xC_10,30,60,8,8,240,2520,0.633155,OPT,232,2382,0.431537,OPT,3.3333,5.4762,"Sym,Base",YES
C_3xP_10,30,57,7,7,210,2058,0.458936,OPT,210,2066,0.718822,OPT,0.0,-0.3887,"Base,Sym",YES
P_3xP_10,30,47,6,6,180,1533,0.857009,OPT,180,1533,0.470366,OPT,0.0,0.0,"Sym,Base",YES
C_3oC_10,33,63,14,14,462,5613,65.228173,OPT,462,5628,17.709309,OPT,0.0,-0.2672,"Base,Sym",YES
P_3oP_10,33,59,13,13,429,4842,0.374839,OPT,429,4842,0.397235,OPT,0.0,0.0,"Sym,Base",YES
C_3oP_10,33,60,14,14,462,5529,100.199018,OPT,462,5544,33.138616,OPT,0.0,-0.2713,"Base,Sym",YES
P_3oC_10,33,62,13,13,429,4920,0.463416,OPT,429,4920,0.74311,OPT,0.0,0.0,"Sym,Base",YES
C_4xC_3,12,24,8,8,96,954,0.42449,OPT,88,824,0.443948,OPT,8.3333,13.6268,"Base,Sym",YES
C_4xP_3,12,20,7,7,84,720,0.484685,OPT,84,728,0.514572,OPT,0.0,-1.1111,"Sym,Base",YES
P_4xP_3,12,17,6,6,72,537,0.39395,OPT,72,537,0.616981,OPT,0.0,0.0,"Base,Sym",YES
C_4oC_3,16,28,7,7,112,920,0.5699,OPT,112,928,0.40388,OPT,0.0,-0.8696,"Sym,Base",YES
P_4oP_3,16,23,6,6,96,685,0.398125,OPT,96,685,0.382484,OPT,0.0,0.0,"Base,Sym",YES
C_4oP_3,16,24,7,7,112,864,0.500115,OPT,112,872,0.468165,OPT,0.0,-0.9259,"Sym,Base",YES
P_4oC_3,16,27,7,7,112,850,0.61027,OPT,112,850,0.444489,OPT,0.0,0.0,"Base,Sym",YES
C_4xC_4,16,32,7,7,112,1184,0.434268,OPT,105,1064,0.626063,OPT,6.25,10.1351,"Sym,Base",YES
C_4xP_4,16,28,7,7,112,1032,0.430353,OPT,112,1040,0.508659,OPT,0.0,-0.7752,"Base,Sym",YES
P_4xP_4,16,24,6,6,96,774,0.501184,OPT,96,774,0.459697,OPT,0.0,0.0,"Sym,Base",YES
C_4oC_4,20,36,8,8,160,1418,0.450041,OPT,160,1427,0.651949,OPT,0.0,-0.6347,"Base,Sym",YES
P_4oP_4,20,31,7,7,140,1106,0.388863,OPT,140,1106,0.46639,OPT,0.0,0.0,"Sym,Base",YES
C_4oP_4,20,32,8,8,160,1354,0.426151,OPT,160,1363,0.386235,OPT,0.0,-0.6647,"Base,Sym",YES
P_4oC_4,20,35,7,7,140,1162,0.387013,OPT,140,1162,0.390484,OPT,0.0,0.0,"Sym,Base",YES
C_4xC_5,20,40,7,7,140,1560,0.406809,OPT,133,1433,0.382867,OPT,5.0,8.141,"Base,Sym",YES
C_4xP_5,20,36,7,7,140,1344,0.386504,OPT,140,1352,0.401384,OPT,0.0,-0.5952,"Sym,Base",YES
P_4xP_5,20,31,6,6,120,1011,0.453184,OPT,120,1011,0.573102,OPT,0.0,0.0,"Base,Sym",YES
C_4oC_5,24,44,9,9,216,2044,0.421425,OPT,216,2054,0.477423,OPT,0.0,-0.4892,"Sym,Base",YES
P_4oP_5,24,39,8,8,192,1647,0.447769,OPT,192,1647,0.390619,OPT,0.0,0.0,"Base,Sym",YES
C_4oP_5,24,40,9,9,216,1972,0.522958,OPT,216,1982,0.417433,OPT,0.0,-0.5071,"Sym,Base",YES
P_4oC_5,24,43,8,8,192,1711,0.447767,OPT,192,1711,0.446997,OPT,0.0,0.0,"Base,Sym",YES
C_4xC_6,24,48,7,7,168,1872,0.478866,OPT,161,1745,0.406357,OPT,4.1667,6.7842,"Sym,Base",YES
C_4xP_6,24,44,7,7,168,1656,0.452879,OPT,168,1664,0.393225,OPT,0.0,-0.4831,"Base,Sym",YES
P_4xP_6,24,38,6,6,144,1248,0.384342,OPT,144,1248,0.388115,OPT,0.0,0.0,"Sym,Base",YES
C_4oC_6,28,52,10,10,280,2810,0.570543,OPT,280,2821,0.4733,OPT,0.0,-0.3915,"Base,Sym",YES
P_4oP_6,28,47,9,9,252,2320,0.388324,OPT,252,2320,0.392406,OPT,0.0,0.0,"Sym,Base",YES
C_4oP_6,28,48,10,10,280,2730,0.609483,OPT,280,2741,0.497331,OPT,0.0,-0.4029,"Base,Sym",YES
P_4oC_6,28,51,9,9,252,2392,0.622721,OPT,252,2392,0.40711,OPT,0.0,0.0,"Sym,Base",YES
C_4xC_7,28,56,7,7,196,2184,0.473808,OPT,189,2057,0.421693,OPT,3.5714,5.815,"Base,Sym",YES
C_4xP_7,28,52,7,7,196,1968,0.502431,OPT,196,1976,0.483606,OPT,0.0,-0.4065,"Sym,Base",YES
P_4xP_7,28,45,6,6,168,1485,0.516944,OPT,168,1485,0.504609,OPT,0.0,0.0,"Base,Sym",YES
C_4oC_7,32,60,11,11,352,3728,1.305446,OPT,352,3740,0.951381,OPT,0.0,-0.3219,"Sym,Base",YES
P_4oP_7,32,55,10,10,320,3137,0.630757,OPT,320,3137,0.411,OPT,0.0,0.0,"Base,Sym",YES
C_4oP_7,32,56,11,11,352,3640,0.827018,OPT,352,3652,0.948156,OPT,0.0,-0.3297,"Sym,Base",YES
P_4oC_7,32,59,10,10,320,3217,0.44305,OPT,320,3217,0.427483,OPT,0.0,0.0,"Base,Sym",YES
C_4xC_8,32,64,7,7,224,2496,0.760187,OPT,217,2369,0.411806,OPT,3.125,5.0881,"Sym,Base",YES
C_4xP_8,32,60,7,7,224,2280,0.951736,OPT,224,2288,0.799766,OPT,0.0,-0.3509,"Base,Sym",YES
P_4xP_8,32,52,6,6,192,1722,0.567674,OPT,192,1722,0.579446,OPT,0.0,0.0,"Sym,Base",YES
C_4oC_8,36,68,12,12,432,4810,3.464678,OPT,432,4823,1.625928,OPT,0.0,-0.2703,"Base,Sym",YES
P_4oP_8,36,63,11,11,396,4110,0.509582,OPT,396,4110,0.53159,OPT,0.0,0.0,"Sym,Base",YES
C_4oP_8,36,64,12,12,432,4714,5.192681,OPT,432,4727,2.828805,OPT,0.0,-0.2758,"Base,Sym",YES
P_4oC_8,36,67,11,11,396,4198,0.745583,OPT,396,4198,0.593657,OPT,0.0,0.0,"Sym,Base",YES
C_4xC_9,36,72,7,7,252,2808,0.445284,OPT,245,2681,0.441451,OPT,2.7778,4.5228,"Base,Sym",YES
C_4xP_9,36,68,7,7,252,2592,0.418695,OPT,252,2600,0.450531,OPT,0.0,-0.3086,"Sym,Base",YES
P_4xP_9,36,59,6,6,216,1959,0.424359,OPT,216,1959,0.424144,OPT,0.0,0.0,"Base,Sym",YES
C_4oC_9,40,76,13,13,520,6068,8.842518,OPT,520,6082,7.547879,OPT,0.0,-0.2307,"Sym,Base",YES
P_4oP_9,40,71,12,12,480,5251,0.937876,OPT,480,5251,1.1369,OPT,0.0,0.0,"Base,Sym",YES
C_4oP_9,40,72,13,13,520,5964,24.942832,OPT,520,5978,7.558811,OPT,0.0,-0.2347,"Sym,Base",YES
P_4oC_9,40,75,12,12,480,5347,1.996722,OPT,480,5347,1.653727,OPT,0.0,0.0,"Base,Sym",YES
C_4xC_10,40,80,7,7,280,3120,0.604455,OPT,273,2993,0.644673,OPT,2.5,4.0705,"Sym,Base",YES
C_4xP_10,40,76,7,7,280,2904,0.580331,OPT,280,2912,0.572549,OPT,0.0,-0.2755,"Base,Sym",YES
P_4xP_10,40,66,6,6,240,2196,0.679376,OPT,240,2196,0.684566,OPT,0.0,0.0,"Sym,Base",YES
