Graph,n,var,clause/constr,time,lambda,UB,status
GP_7_1,14,84,650,0.478669,6,8,OPT
GP_7_2,14,84,744,0.460539,6,9,OPT
GP_7_3,14,84,744,0.433871,6,9,OPT
GP_8_1,16,96,745,0.423636,6,8,OPT
GP_8_2,16,96,825,0.448306,6,8,OPT
GP_8_3,16,96,853,0.447647,6,9,OPT
GP_9_1,18,,,0.629026,5,5,OPT
GP_9_2,18,,,0.42929,5,5,OPT
GP_9_3,18,108,899,0.425736,6,9,OPT
GP_9_4,18,,,0.422502,5,5,OPT
