Family,Rows,Paired_OPT,Unresolved_Pairs,Base_FEASIBLE,Sym_FEASIBLE,Symmetry_Rules,Paired_Time_Base,Paired_Time_Sym,Median_Paired_Speedup,Median_Paired_Clause_Reduction_Pct
CoC,64,64,0,0,0,order,769.3851549999999,447.613376,1.1195326037905378,1.11021255778197
CoP,64,64,0,0,0,order,701.840299,497.426688,1.111859413013438,1.1390632954352609
CxC,64,62,2,2,2,order,326.842009,131.803199,1.1025283783793824,0.8333333333333304
CxP,64,64,0,0,0,order,39.971915,38.580272,1.0212494283537772,0.5835159924240774
PoC,64,64,0,0,0,none,402.67492,402.658119,0.9916926850578627,0.0
PoP,64,64,0,0,0,none,402.653597,405.997817,1.0050169013050678,0.0
PxP,64,64,0,0,0,none,35.113351,35.581569,1.0003329267459646,0.0
